0	42904235	615752261	skirts	https://img.shopstyle-cdn.com/pim/ef/7c/ef7ce4493337e66516ecb405afe7b705_best.jpg	631337402	womens-tops	https://img.shopstyle-cdn.com/pim/07/e7/07e707f65013d8597b91969b2c01852e_best.jpg
1	42904235	631337402	womens-tops	https://img.shopstyle-cdn.com/pim/07/e7/07e707f65013d8597b91969b2c01852e_best.jpg	615752261	skirts	https://img.shopstyle-cdn.com/pim/ef/7c/ef7ce4493337e66516ecb405afe7b705_best.jpg
2	42825046	637589728	womens-tops	https://img.shopstyle-cdn.com/pim/97/02/9702fa47f1b72a506c08c9d13709c37b_best.jpg	628972535	jeans	https://img.shopstyle-cdn.com/pim/c4/c4/c4c4b91f77bba7af64742bbd293a3735_best.jpg
3	42825046	628972535	jeans	https://img.shopstyle-cdn.com/pim/c4/c4/c4c4b91f77bba7af64742bbd293a3735_best.jpg	637589728	womens-tops	https://img.shopstyle-cdn.com/pim/97/02/9702fa47f1b72a506c08c9d13709c37b_best.jpg
4	42844166	630487027	jeans	https://img.shopstyle-cdn.com/pim/b6/d0/b6d0eaa0538b7bf834a036bc8f4b7a90_best.jpg	623722641	womens-tops	https://img.shopstyle-cdn.com/pim/22/dd/22dd5e46cbbcf8879438bc11ef172b39_best.jpg
5	42844166	623722641	womens-tops	https://img.shopstyle-cdn.com/pim/22/dd/22dd5e46cbbcf8879438bc11ef172b39_best.jpg	630487027	jeans	https://img.shopstyle-cdn.com/pim/b6/d0/b6d0eaa0538b7bf834a036bc8f4b7a90_best.jpg
6	42909705	635361194	shorts	https://img.shopstyle-cdn.com/pim/b3/44/b3441894bcfaedd84a24d74e2b203ada_best.jpg	648085564	womens-tops	https://img.shopstyle-cdn.com/pim/1b/08/1b08c35e9fdac36534445da9daff7b2f_best.jpg
7	42909705	648085564	womens-tops	https://img.shopstyle-cdn.com/pim/1b/08/1b08c35e9fdac36534445da9daff7b2f_best.jpg	635361194	shorts	https://img.shopstyle-cdn.com/pim/b3/44/b3441894bcfaedd84a24d74e2b203ada_best.jpg
8	42926099	661462674	womens-tops	https://img.shopstyle-cdn.com/pim/ea/87/ea87c503776633d19221bd2229ed548d_best.jpg	616626010	jeans	https://img.shopstyle-cdn.com/pim/ee/66/ee666f1d11bab37cde3885826747c12d_best.jpg
9	42926099	616626010	jeans	https://img.shopstyle-cdn.com/pim/ee/66/ee666f1d11bab37cde3885826747c12d_best.jpg	661462674	womens-tops	https://img.shopstyle-cdn.com/pim/ea/87/ea87c503776633d19221bd2229ed548d_best.jpg
10	42795028	542733706	jeans	https://img.shopstyle-cdn.com/pim/d5/87/d5876218a26e84834278c180e23fbf84_best.jpg	628574448	womens-tops	https://img.shopstyle-cdn.com/pim/8f/54/8f54bcefa9b97a636d902941d746bd57_best.jpg
11	42795028	628574448	womens-tops	https://img.shopstyle-cdn.com/pim/8f/54/8f54bcefa9b97a636d902941d746bd57_best.jpg	542733706	jeans	https://img.shopstyle-cdn.com/pim/d5/87/d5876218a26e84834278c180e23fbf84_best.jpg
12	42844184	640597811	womens-tops	https://img.shopstyle-cdn.com/pim/c6/20/c6201342464fae3a302bf70dff7c1d12_best.jpg	628682770	shorts	https://img.shopstyle-cdn.com/pim/af/8e/af8eea712df16a65b025a5e5c6488e39_best.jpg
13	42844184	628682770	shorts	https://img.shopstyle-cdn.com/pim/af/8e/af8eea712df16a65b025a5e5c6488e39_best.jpg	640597811	womens-tops	https://img.shopstyle-cdn.com/pim/c6/20/c6201342464fae3a302bf70dff7c1d12_best.jpg
14	42926105	656261794	womens-tops	https://img.shopstyle-cdn.com/pim/b9/f3/b9f32b1159082d02e58551cfb249e16a_best.jpg	649088590	skirts	https://img.shopstyle-cdn.com/pim/ab/bf/abbfbacd94ef8abc0da5abd9b191401d_best.jpg
15	42926105	649088590	skirts	https://img.shopstyle-cdn.com/pim/ab/bf/abbfbacd94ef8abc0da5abd9b191401d_best.jpg	656261794	womens-tops	https://img.shopstyle-cdn.com/pim/b9/f3/b9f32b1159082d02e58551cfb249e16a_best.jpg
16	42844188	621252159	womens-tops	https://img.shopstyle-cdn.com/pim/b3/a1/b3a1c1d0bccbac20fc06ca857b1059c2_best.jpg	632568614	shorts	https://img.shopstyle-cdn.com/pim/c7/d4/c7d4876b82962622d9ec8a0dab6108ba_best.jpg
17	42844188	632568614	shorts	https://img.shopstyle-cdn.com/pim/c7/d4/c7d4876b82962622d9ec8a0dab6108ba_best.jpg	621252159	womens-tops	https://img.shopstyle-cdn.com/pim/b3/a1/b3a1c1d0bccbac20fc06ca857b1059c2_best.jpg
